month	day	year	mm precip
07	29	2011	1329.0
07	30	2011	1.0
07	31	2011	0.0
08	01	2011	0.0
08	02	2011	14855.1
08	03	2011	33.5
08	04	2011	0.0
08	05	2011	0.0
08	06	2011	0.0
08	07	2011	191.7
08	08	2011	1112.9
08	09	2011	1.3
08	10	2011	980.6
08	11	2011	1.0
08	12	2011	0.0
08	13	2011	0.0
08	14	2011	0.0
08	15	2011	0.0
08	16	2011	1162.9
08	17	2011	2.8
08	18	2011	0.0
08	19	2011	0.0
08	20	2011	0.0
08	21	2011	0.0
08	22	2011	917.5
08	23	2011	2.8
08	24	2011	1028.1
08	25	2011	1.0
08	26	2011	793.7
08	27	2011	900.2
08	28	2011	1358.5
08	29	2011	1989.3
08	30	2011	7985.6
08	31	2011	5207.3
09	01	2011	363.0
09	02	2011	0.5
09	03	2011	0.0
09	04	2011	0.0
09	05	2011	0.0
09	06	2011	0.0
09	07	2011	0.0
09	08	2011	348.0
09	09	2011	0.3
09	10	2011	913.3
09	11	2011	2.8
09	12	2011	0.0
09	13	2011	0.0
09	14	2011	1112.2
09	15	2011	7748.8
09	16	2011	0.0
09	17	2011	0.0
09	18	2011	0.0
09	19	2011	6248.8
09	20	2011	7.1
09	21	2011	0.0
09	22	2011	0.0
09	23	2011	0.0
09	24	2011	0.0
09	25	2011	0.0
09	26	2011	0.0
09	27	2011	0.0
09	28	2011	0.0
09	29	2011	0.0
09	30	2011	0.0
10	01	2011	0.0
10	02	2011	0.0
10	03	2011	0.0
10	04	2011	192.0
10	05	2011	12181.6
10	06	2011	500.8
10	07	2011	0.5
10	08	2011	419.4
10	09	2011	0.8
10	10	2011	1216.5
10	11	2011	5375.5
10	12	2011	270.9
10	13	2011	823.5
10	14	2011	15.0
10	15	2011	4241.8
10	16	2011	1435.5
10	17	2011	7552.3
10	18	2011	550.3
10	19	2011	3490.9
10	20	2011	8.1
10	21	2011	0.0
10	22	2011	2925.2
10	23	2011	252.9
10	24	2011	8797.9
10	25	2011	25286.9
10	26	2011	10401.2
10	27	2011	10512.3
10	28	2011	181.6
10	29	2011	6471.5
10	30	2011	5441.9
10	31	2011	7240.5
11	01	2011	2506.1
11	02	2011	1284.2
11	03	2011	1.5
11	04	2011	0.0
11	05	2011	2713.2
11	06	2011	27050.9
11	07	2011	409.6
11	08	2011	3759.0
11	09	2011	12866.2
11	10	2011	35093.8
11	11	2011	1715.0
11	12	2011	35108.7
11	13	2011	7039.8
11	14	2011	609.7
11	15	2011	1.0
11	16	2011	0.0
11	17	2011	0.0
11	18	2011	0.0
11	19	2011	26415.2
11	20	2011	23001.9
11	21	2011	54726.2
11	22	2011	145.5
11	23	2011	0.3
11	24	2011	9698.8
11	25	2011	4404.3
11	26	2011	14.0
11	27	2011	9521.9
11	28	2011	1335.1
11	29	2011	743.4
11	30	2011	1.5
12	01	2011	0.0
12	02	2011	0.0
12	03	2011	0.0
12	04	2011	1390.0
12	05	2011	77988.3
12	06	2011	85.6
12	07	2011	305.4
12	08	2011	9102.7
12	09	2011	6.9
12	10	2011	0.0
12	11	2011	1926.9
12	12	2011	3551.1
12	13	2011	5.3
12	14	2011	0.3
12	15	2011	1165.0
12	16	2011	3.0
12	17	2011	0.0
12	18	2011	0.0
12	19	2011	359.4
